Liste,Keyword,Criterion Type,Begründung
L3 Information,was ist,Phrase,Reine Wissensfrage
L3 Information,was bedeutet,Phrase,
L3 Information,bedeutung,Broad,
L3 Information,definition,Broad,
L3 Information,erklärung,Broad,
L3 Information,einfach erklärt,Phrase,
L3 Information,wikipedia,Broad,
L3 Information,wiki,Broad,
L3 Information,jusline,Broad,Gesetzestext-Portal
L3 Information,ris bka,Phrase,Rechtsinformationssystem des Bundes
L3 Information,gesetzestext,Broad,
L3 Information,paragraph,Broad,
L3 Information,gesetzbuch,Broad,
L3 Information,abgb text,Phrase,
L3 Information,forum,Broad,
L3 Information,erfahrungen,Broad,
L3 Information,youtube,Broad,
L3 Information,video,Broad,
L3 Information,buch,Broad,
L3 Information,studie,Broad,
L3 Information,statistik,Broad,
L3 Information,news,Broad,
L3 Information,nachrichten,Broad,
