Liste,Keyword,Criterion Type,Begründung
L4 DE-Rechtsbegriffe,erbschein,Broad,Deutscher Begriff - in Oesterreich heisst es Einantwortungsbeschluss
L4 DE-Rechtsbegriffe,nachlassgericht,Broad,Deutsche Gerichtsorganisation
L4 DE-Rechtsbegriffe,amtsgericht,Broad,Existiert in Oesterreich nicht
L4 DE-Rechtsbegriffe,landgericht,Broad,Deutsche Gerichtsorganisation
L4 DE-Rechtsbegriffe,oberlandesgericht münchen,Phrase,
L4 DE-Rechtsbegriffe,grundbuchamt,Broad,In Oesterreich Bezirksgericht
L4 DE-Rechtsbegriffe,handelsregister,Broad,In Oesterreich Firmenbuch
L4 DE-Rechtsbegriffe,bgb,Broad,Deutsches Zivilrecht - in Oesterreich ABGB
L4 DE-Rechtsbegriffe,gbo,Broad,
L4 DE-Rechtsbegriffe,fachanwalt für,Phrase,Fachanwaltstitel existiert nur in Deutschland
L4 DE-Rechtsbegriffe,jobcenter,Broad,
L4 DE-Rechtsbegriffe,bürgergeld,Broad,
L4 DE-Rechtsbegriffe,hartz,Broad,
L4 DE-Rechtsbegriffe,familienkasse,Broad,
L4 DE-Rechtsbegriffe,elterngeld,Broad,In Oesterreich Kinderbetreuungsgeld
L4 DE-Rechtsbegriffe,zugewinnausgleich,Broad,Deutsches Ehegueterrecht
L4 DE-Rechtsbegriffe,versorgungsausgleich,Broad,Deutsches Recht
L4 DE-Rechtsbegriffe,trennungsjahr,Broad,Deutsche Scheidungsvoraussetzung
L4 DE-Rechtsbegriffe,düsseldorfer tabelle,Phrase,Deutsche Unterhaltstabelle
L4 DE-Rechtsbegriffe,gmbh ug,Phrase,Deutsche Rechtsform
L4 DE-Rechtsbegriffe,unternehmergesellschaft,Broad,Deutsche Rechtsform
