Liste,Keyword,Criterion Type,Begründung
L7 Standorte,graz,Broad,Ausserhalb des Einzugsgebiets
L7 Standorte,linz,Broad,
L7 Standorte,salzburg,Broad,
L7 Standorte,innsbruck,Broad,
L7 Standorte,klagenfurt,Broad,
L7 Standorte,villach,Broad,
L7 Standorte,wels,Broad,
L7 Standorte,steyr,Broad,
L7 Standorte,bregenz,Broad,
L7 Standorte,dornbirn,Broad,
L7 Standorte,feldkirch,Broad,
L7 Standorte,leoben,Broad,
L7 Standorte,kufstein,Broad,
L7 Standorte,berlin,Broad,
L7 Standorte,münchen,Broad,
L7 Standorte,hamburg,Broad,
L7 Standorte,köln,Broad,
L7 Standorte,frankfurt,Broad,
L7 Standorte,stuttgart,Broad,
L7 Standorte,düsseldorf,Broad,
L7 Standorte,leipzig,Broad,
L7 Standorte,dresden,Broad,
L7 Standorte,zürich,Broad,
L7 Standorte,bern,Broad,
L7 Standorte,basel,Broad,
L7 Standorte,deutschland,Broad,
L7 Standorte,schweiz,Broad,
L7 Standorte,bayern,Broad,
L7 Standorte,ungarn,Broad,
L7 Standorte,slowakei,Broad,
L7 Standorte,bratislava,Broad,
