Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Status
BRAND | Dr. Weiser | AT | P1,Kanzleiname,dr weiser rechtsanwalt,Exact,1.50,https://drweiser.at/,Enabled
BRAND | Dr. Weiser | AT | P1,Kanzleiname,kanzlei dr weiser,Exact,1.50,https://drweiser.at/,Enabled
BRAND | Dr. Weiser | AT | P1,Kanzleiname,drweiser,Exact,1.00,https://drweiser.at/,Enabled
BRAND | Dr. Weiser | AT | P1,Kanzleiname,drweiser at,Phrase,1.00,https://drweiser.at/,Enabled
BRAND | Dr. Weiser | AT | P1,Kanzleiname,anwaltskanzlei weiser wien,Phrase,1.50,https://drweiser.at/,Enabled
BRAND | Dr. Weiser | AT | P1,Personenname,dr martin weiser anwalt,Exact,1.50,https://drweiser.at/kanzlei,Enabled
BRAND | Dr. Weiser | AT | P1,Personenname,martin weiser rechtsanwalt wien,Exact,1.50,https://drweiser.at/kanzlei,Enabled
BRAND | Dr. Weiser | AT | P1,Personenname,rechtsanwalt weiser wien,Phrase,1.50,https://drweiser.at/kanzlei,Enabled
BRAND | Dr. Weiser | AT | P1,Personenname,dr weiser landstraßer hauptstraße,Phrase,1.00,https://drweiser.at/kanzlei,Enabled
BRAND | Dr. Weiser | AT | P1,Personenname,weiser anwalt 1030 wien,Phrase,1.50,https://drweiser.at/kanzlei,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,scheidungsanwalt wien,Exact,6.50,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,anwalt scheidung wien,Exact,6.50,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,rechtsanwalt scheidung wien,Exact,6.50,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,scheidungsanwältin wien,Exact,6.00,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,anwalt familienrecht wien,Exact,6.00,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,scheidungsanwalt wien,Phrase,5.50,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,anwalt für scheidung wien,Phrase,5.50,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,scheidungsanwalt 1030 wien,Phrase,5.00,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,scheidungsanwalt wien landstraße,Phrase,5.00,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,familienrechtsanwalt wien,Phrase,5.50,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,bester scheidungsanwalt wien,Phrase,5.00,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,rechtsanwalt familienrecht wien,Phrase,5.50,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,scheidung anwalt in der nähe,Phrase,4.50,https://drweiser.at/scheidung,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Einvernehmliche Scheidung,einvernehmliche scheidung wien,Exact,5.50,https://drweiser.at/scheidung/einvernehmlich,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Einvernehmliche Scheidung,einvernehmliche scheidung anwalt,Exact,5.50,https://drweiser.at/scheidung/einvernehmlich,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Einvernehmliche Scheidung,einvernehmliche scheidung wien,Phrase,5.00,https://drweiser.at/scheidung/einvernehmlich,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Einvernehmliche Scheidung,einvernehmliche scheidung ablauf anwalt,Phrase,4.50,https://drweiser.at/scheidung/einvernehmlich,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Einvernehmliche Scheidung,scheidung 55a ehegesetz,Phrase,4.00,https://drweiser.at/scheidung/einvernehmlich,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Einvernehmliche Scheidung,scheidungsvergleich anwalt,Phrase,4.50,https://drweiser.at/scheidung/einvernehmlich,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Einvernehmliche Scheidung,scheidungsvereinbarung erstellen,Phrase,4.50,https://drweiser.at/scheidung/einvernehmlich,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Einvernehmliche Scheidung,scheidung ohne streit anwalt wien,Phrase,4.50,https://drweiser.at/scheidung/einvernehmlich,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Strittige Scheidung,strittige scheidung anwalt,Exact,6.00,https://drweiser.at/scheidung/strittig,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Strittige Scheidung,scheidungsklage wien,Exact,6.00,https://drweiser.at/scheidung/strittig,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Strittige Scheidung,streitige scheidung wien anwalt,Phrase,5.50,https://drweiser.at/scheidung/strittig,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Strittige Scheidung,scheidung aus verschulden anwalt,Phrase,5.50,https://drweiser.at/scheidung/strittig,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Strittige Scheidung,scheidungsklage einreichen anwalt,Phrase,5.50,https://drweiser.at/scheidung/strittig,Enabled
