Campaign,Day of week,Start time,End time,Bid adjustment,Erreichbarkeit
ALLE,Monday,07:00,09:00,-25%,Nur Formular
ALLE,Monday,09:00,12:00,+15%,Telefon besetzt
ALLE,Monday,12:00,14:00,+10%,Telefon besetzt
ALLE,Monday,14:00,16:00,+15%,Telefon besetzt
ALLE,Monday,16:00,17:00,+10%,Telefon besetzt
ALLE,Monday,17:00,23:00,-25%,Nur Formular
ALLE,Tuesday,07:00,09:00,-25%,Nur Formular
ALLE,Tuesday,09:00,12:00,+15%,Telefon besetzt
ALLE,Tuesday,12:00,14:00,+10%,Telefon besetzt
ALLE,Tuesday,14:00,16:00,+15%,Telefon besetzt
ALLE,Tuesday,16:00,17:00,+10%,Telefon besetzt
ALLE,Tuesday,17:00,23:00,-25%,Nur Formular
ALLE,Wednesday,07:00,09:00,-25%,Nur Formular
ALLE,Wednesday,09:00,12:00,+15%,Telefon besetzt
ALLE,Wednesday,12:00,14:00,+10%,Telefon besetzt
ALLE,Wednesday,14:00,16:00,+15%,Telefon besetzt
ALLE,Wednesday,16:00,17:00,+10%,Telefon besetzt
ALLE,Wednesday,17:00,23:00,-25%,Nur Formular
ALLE,Thursday,07:00,09:00,-25%,Nur Formular
ALLE,Thursday,09:00,12:00,+15%,Telefon besetzt
ALLE,Thursday,12:00,14:00,+10%,Telefon besetzt
ALLE,Thursday,14:00,16:00,+15%,Telefon besetzt
ALLE,Thursday,16:00,17:00,+10%,Telefon besetzt
ALLE,Thursday,17:00,23:00,-25%,Nur Formular
ALLE,Friday,07:00,09:00,-25%,Nur Formular
ALLE,Friday,09:00,12:00,+15%,Telefon besetzt
ALLE,Friday,12:00,13:00,+10%,Telefon besetzt
ALLE,Friday,13:00,23:00,-25%,Nur Formular
ALLE,Saturday,08:00,23:00,-25%,Nur Formular
ALLE,Sunday,08:00,24:00,-25%,Nur Formular
